source_path,filename,sha256,bytes,category,reason,internal_hash_group_size,v2_exact_matches
20260711T162758_run_controls.py,20260711T162758_run_controls.py,4b30d3f3f2af1403639658e10cc7461980b1b483972c0841c12cd3444fbac13b,4704,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T162758_v7n_finite_orthad_qgt_jm_split.py,20260711T162758_v7n_finite_orthad_qgt_jm_split.py,3504ef8c8b295d8aacaf9dd2a229b9526ef50c00ee468a2e578347c2dca4f7a4,28838,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/phase5_v7n_finite_orthad_qgt_jm_split.py,1,math_candidates/phase5_v7n_finite_orthad_qgt_jm_split.py
20260711T162758_verify.py,20260711T162758_verify.py,0f0c7597a1d09c760bd051f3494493fd53a87ed1d1885173dfca8c7838f2e563,7278,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T174605_build_package.py,20260711T174605_build_package.py,c47265d5aecf5dbf340e30fdf605e72f25032e2c0b81a5c647e41460ef4f79b5,16814,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T174605_derive_articulation_boundary.py,20260711T174605_derive_articulation_boundary.py,1925e90cdebcce671e6cffec2ebf1eb56c0c46de256bcccf1b78064bb7218ef3,20392,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T174605_derive_articulation_boundary.py,1,math_candidates/20260711T174605_derive_articulation_boundary.py
20260711T174605_verify_package.py,20260711T174605_verify_package.py,a4d76b1adac5168124cb2fd500aa84c7d08f614032fd7982a16d07fe5a90976d,1972,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T194326_build_package.py,20260711T194326_build_package.py,019653e9d3cb6fdb08b7c5abe85be0a6348efbc9cc49f5151bc2204045760e1d,4815,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T194326_derive_bql_action_boundary.py,20260711T194326_derive_bql_action_boundary.py,23d1d99376eff0b567f6db0e86ae516de712482a1f655ffaa48058fbf9dfa2c5,8204,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T194326_derive_bql_action_boundary.py,1,math_candidates/20260711T194326_derive_bql_action_boundary.py
20260711T194326_verify_archive.py,20260711T194326_verify_archive.py,114665c1fdb08074b0a6f352a9f177c1e27f41eb37d29caef485af52fb08a069,1172,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T214822_build_package.py,20260711T214822_build_package.py,1023000ffea5e203f25992bf848d266cbfb3885e72992f9929c38cbc703d0918,3651,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T214822_derive_state_forced_action.py,20260711T214822_derive_state_forced_action.py,01f39249438f2e1751e84a3ac234b9e896363dfdbff467c92626688d96b8c508,8033,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T214822_derive_state_forced_action.py,1,math_candidates/20260711T214822_derive_state_forced_action.py
20260711T214822_verify_package.py,20260711T214822_verify_package.py,220d7eaf3addb39b1cc206796c9b016147d01eeaec533c468e97342ed26b7622,1212,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T224358_build_package.py,20260711T224358_build_package.py,c1ee7b1d2a4cd730b3d99d61729eb8fbe4f7db3e6bbe5021f2f0ec3594df3d37,3301,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T224358_derive_ppgrl.py,20260711T224358_derive_ppgrl.py,3e98eb0770d49a0fe8c8642b6b7ed211da132fa1b86d554dcfb63e67f914ca8f,6929,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T224358_derive_ppgrl.py,1,math_candidates/20260711T224358_derive_ppgrl.py
20260711T224358_verify_package.py,20260711T224358_verify_package.py,3ddf84bbc5f8bc207ff46d2a788f4d1859c5f4f9228e91c73a53b481e764ee5c,1327,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260712T231004_build_package.py,20260712T231004_build_package.py,e51ce972d211a0c8b39542fc7cea8fac6966d90926596e1753ec7e4a323f8541,2977,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260712T231004_derive_first_b_tick.py,20260712T231004_derive_first_b_tick.py,4ba538ccd80adfc4b24f6c0f7f93477e53779d7160f733846e24a0d680cfa323,698,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,3,
20260712T231004_search_archives.py,20260712T231004_search_archives.py,b33c93fbf9d26db238739bdf45177cee4fd876f57a856a90b4bcda166d9513b1,792,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,3,
20260712T231004_verify_package.py,20260712T231004_verify_package.py,9ce7d197a8fa4f5f51360963caac44e697944f2e339fe3f60c16ba5a0b43589c,550,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T000347_build_package.py,20260713T000347_build_package.py,8417f7a0bac1804352808087374eb283fcd5f6816bb3fdf954f71397540c0dca,3089,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T000347_derive_first_b_tick.py,20260713T000347_derive_first_b_tick.py,4ba538ccd80adfc4b24f6c0f7f93477e53779d7160f733846e24a0d680cfa323,698,internal_duplicate,Exact duplicate inside third_sweep of 20260712T231004_derive_first_b_tick.py,3,
20260713T000347_search_archives.py,20260713T000347_search_archives.py,b33c93fbf9d26db238739bdf45177cee4fd876f57a856a90b4bcda166d9513b1,792,internal_duplicate,Exact duplicate inside third_sweep of 20260712T231004_search_archives.py,3,
20260713T000347_verify_evidence_classes.py,20260713T000347_verify_evidence_classes.py,cd7ce21998c71200bfd2cad873b1a45f338481b3717ba7a7fc18545a8a87acaf,2791,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T000347_verify_package.py,20260713T000347_verify_package.py,43745789340fb9b48cf9c43dc8aa7f9957b597e8674c1b185f188fbcfb75f4dd,861,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,2,
20260713T001921_build_package.py,20260713T001921_build_package.py,47ecc997ca270dd77a74ecc232a901dc05b22a11d31f37d1633c9a438aaad26b,3279,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T001921_derive_first_b_tick.py,20260713T001921_derive_first_b_tick.py,4ba538ccd80adfc4b24f6c0f7f93477e53779d7160f733846e24a0d680cfa323,698,internal_duplicate,Exact duplicate inside third_sweep of 20260712T231004_derive_first_b_tick.py,3,
20260713T001921_search_archives.py,20260713T001921_search_archives.py,b33c93fbf9d26db238739bdf45177cee4fd876f57a856a90b4bcda166d9513b1,792,internal_duplicate,Exact duplicate inside third_sweep of 20260712T231004_search_archives.py,3,
20260713T001921_verify_evidence_classes.py,20260713T001921_verify_evidence_classes.py,7b7b2bb24a297150a8a38986c3dc25b4841a6b1ed895fc63738a8ad9e06d84f8,8520,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T001921_verify_package.py,20260713T001921_verify_package.py,43745789340fb9b48cf9c43dc8aa7f9957b597e8674c1b185f188fbcfb75f4dd,861,internal_duplicate,Exact duplicate inside third_sweep of 20260713T000347_verify_package.py,2,
20260713T020859_build_package.py,20260713T020859_build_package.py,91f103092d1926a11cc5d9c94bf3ab0d3bdad5f962efccb5b5495a2231d25d7b,1617,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T020859_derive_initialization_first_b.py,20260713T020859_derive_initialization_first_b.py,5d59a4a5108812df90728ed4006d413fe2135ea048eb6e2d0208ade7b5b3b576,1163,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T020859_search_archive_corpus.py,20260713T020859_search_archive_corpus.py,8f1c66d7bae928eb110d7593b6b0bed03b70f0e2aa89fe6c9ff1ff51f77784ae,4393,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,2,
20260713T020859_verify_evidence_classes.py,20260713T020859_verify_evidence_classes.py,5d553f61a23a650d67fcf334f40d525cebb76f633102315d4b4608b29968395a,1991,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T020859_verify_package.py,20260713T020859_verify_package.py,6016154aae70ea1a440a3f1aeb2a6178b9fd6aa70bec8b1cf76b48aee2e7607a,2691,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T020859_verify_recovered_candidates.py,20260713T020859_verify_recovered_candidates.py,b9be0d39193f39045e83a9c843241a3af298569e1a81a8a5e6c2921144c594c4,2223,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T032500_build_package.py,20260713T032500_build_package.py,eb95209259782756a329cc1ac34dccfc59e9e56eda74b14ab3d2a5a202fdb671,1617,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T032500_derive_initialization_first_b.py,20260713T032500_derive_initialization_first_b.py,da11d4b3a62886257ee92bbd0bc3939d5b3bf441c32a1f4da8b30c32b71651d9,3194,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T032500_search_archive_corpus.py,20260713T032500_search_archive_corpus.py,8f1c66d7bae928eb110d7593b6b0bed03b70f0e2aa89fe6c9ff1ff51f77784ae,4393,internal_duplicate,Exact duplicate inside third_sweep of 20260713T020859_search_archive_corpus.py,2,
20260713T032500_verify_evidence_classes.py,20260713T032500_verify_evidence_classes.py,da4aa8a95c6fc9d89ad072ef3dcdfb2073214702e9cd736d1f3959e9521f8bfd,4935,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T032500_verify_package.py,20260713T032500_verify_package.py,09292ee5e71422a926514a30f685010e1857a1037dc5cf08279b43c112346cc5,2982,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T032500_verify_recovered_candidates.py,20260713T032500_verify_recovered_candidates.py,af1d50e362e1b0fdac7399139e692dbba4dd69b34d1716c497bde62ec9b0d496,2223,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T034945_audit_search_coverage.py,20260713T034945_audit_search_coverage.py,b96417192609cb92d710077f5d07e4ec5ca61c39ce42f33ce76c3367f8d544bf,2995,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,2,
20260713T034945_build_package.py,20260713T034945_build_package.py,ceae93f9d5fab060d794758b46fc8d1e9b259dfe3ef0b543e6a46ca596750381,1729,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T034945_replay_direct_kernel.py,20260713T034945_replay_direct_kernel.py,8f8a3cd68665113172441fdbe1fce1db5043b366743496a888896dc7af63fb35,7448,runtime_persistence_orchestration,Build/CLI/persistence/runtime orchestration rather than a distinct math tool.,1,
20260713T034945_verify_audit_package.py,20260713T034945_verify_audit_package.py,1715bc63ecf77395cb874d3dbcc59c8bee0f4fb34389eee216488721bf877d2a,3472,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T034945_verify_incoming.py,20260713T034945_verify_incoming.py,41229c84b5b91fe8602519dcfbbacf9cfa2831914fa765a63b57588d8cbcd4ee,3988,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,2,
20260713T040902_audit_search_coverage.py,20260713T040902_audit_search_coverage.py,b96417192609cb92d710077f5d07e4ec5ca61c39ce42f33ce76c3367f8d544bf,2995,internal_duplicate,Exact duplicate inside third_sweep of 20260713T034945_audit_search_coverage.py,2,
20260713T040902_build_package.py,20260713T040902_build_package.py,426f233c1181313f1ee6ce404872b9de99605715b7ae2c55954452fb27bf707a,1727,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T040902_replay_direct_kernel.py,20260713T040902_replay_direct_kernel.py,8a5848228f2516d713564bae6ea5d69eb1136e41b5f878be2b365572fb667232,9191,runtime_persistence_orchestration,Build/CLI/persistence/runtime orchestration rather than a distinct math tool.,1,
20260713T040902_verify_audit_package.py,20260713T040902_verify_audit_package.py,708d2f507319249f9a13f12d87b56253d9587bb33439177b60f8df545b85c728,4100,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T040902_verify_incoming.py,20260713T040902_verify_incoming.py,41229c84b5b91fe8602519dcfbbacf9cfa2831914fa765a63b57588d8cbcd4ee,3988,internal_duplicate,Exact duplicate inside third_sweep of 20260713T034945_verify_incoming.py,2,
20260713T075724_build_notebook.py,20260713T075724_build_notebook.py,702f442c13d39e42ac6861fc234cfcb72521ec2a8ff317dac06558add28620e7,9269,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T075724_build_package.py,20260713T075724_build_package.py,17c730b461a8b99d8960878ef34e3a197ef3ca3d6eac92b16db47c40470c4590,1658,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T075724_replay_recovered_kernel.py,20260713T075724_replay_recovered_kernel.py,6cd823e707a238dcddef32822e4e973326d3b0ee6cfb58bc3ec8240291a0d8d0,15859,runtime_persistence_orchestration,Build/CLI/persistence/runtime orchestration rather than a distinct math tool.,1,
20260713T075724_verify_evidence_classes.py,20260713T075724_verify_evidence_classes.py,2b734a4eddcf2d2717acf15ac318fd7d0c43e622f33dcb0628f0cfc1cce6557c,3249,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T075724_verify_package.py,20260713T075724_verify_package.py,c244c2f5bb85b8120721a55a1cde13d7bf2649457304eb147ec0d6486cd858c0,3161,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T082611_build_notebook.py,20260713T082611_build_notebook.py,8c2dc4309d11fe5e2b2f6465644aba0944d98de6c2e6a3aa772a8dddd0ca62e3,9321,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T082611_build_package.py,20260713T082611_build_package.py,2c98fe549e318c42f7bd807cbe8a607c611c3b71b864bec0d92f6d141095941e,1658,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T082611_replay_recovered_kernel.py,20260713T082611_replay_recovered_kernel.py,d85aacbd675c7f6f864200f656d969ceae5f0f88e8ea4573e261d78f4414b49c,16175,runtime_persistence_orchestration,Build/CLI/persistence/runtime orchestration rather than a distinct math tool.,1,
20260713T082611_verify_evidence_classes.py,20260713T082611_verify_evidence_classes.py,b26e108a5af104cebad53c0db20096f4a1aa365d1a8410d5cabfc11651796516,8551,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T082611_verify_package.py,20260713T082611_verify_package.py,0ba4aba5dc5eb4f40f27269ff78beb915a241b307b1795f578f953e4a1e5dc51,3161,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T104035_build_notebook.py,20260713T104035_build_notebook.py,99c17548dd6e31446e21e9a46511a09ad30680cf1302b0805158d84e13a7dccb,12123,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T104035_build_package.py,20260713T104035_build_package.py,6664d4354d4d4d931a8cb29bcc497a514f7de7f3a2eb290b2eed4ffe430d7037,1759,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T104035_orthogonal_counter_chart_test.py,20260713T104035_orthogonal_counter_chart_test.py,8bd3c90fcff2a64a4c2a80f02c885b63f5653e6085c4d54038e56cfd14e1c2fc,16808,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T104035_prepare_package_verification.py,20260713T104035_prepare_package_verification.py,83fd88b6e393108b42894f334f9464546d8a4b52169de5830f7b2bbf06145ee8,2010,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T104035_run_all.py,20260713T104035_run_all.py,d5455efb43fcb3d5e160ad699e7a8242b4461b7d21e394d21ceb318a4b9a1d01,1116,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260713T104035_verify_evidence_classes.py,20260713T104035_verify_evidence_classes.py,64347b91e3133855628d063ab34371b9addd0ceeca54cfdf5e206ebf6d7c3ceb,8327,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260713T104035_verify_package.py,20260713T104035_verify_package.py,f3a8e55db8ab193086e5e90fd88cc0526abd884bfa503db076f2b22869f4952b,1272,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
