source_file,bytes,sha256,status,tier,reason,duplicate_of
clang/phase_multi_graph_benchmark.c,2801,f68ad1dda5e32ef1876849e33d5f8d6da325e540176c3586774a332103d2ed4a,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_multi_graph_v0.c,33847,4d94b05650ad858128fdd9886577e989804609aa2e1c8c4cc81364e62e6c1a3f,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_region_benchmark.c,2766,fd9b09deb9bcd9dcd1461758d648ceffe30d92c08829a6db59d7d7510936b7f3,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_return_benchmark.c,2792,85cb581a9ac6393b753e75f2610bb2b0d2e6f2f0b5a55e4179978d6a20a33368,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_return_journey_v0.c,14466,c44547942337c97300db8f92cdebbe27c12866e63a76d6dde1b4ce4fc7ce6fba,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_route_benchmark.c,2461,aa82032ab392af4d14ff2572225dae1ca3696dd6f1cbb3d9bf16d2997ccc72b2,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_route_custody_v0.c,19597,8699641ffe578e6ad3f396d3b4d812e0bf82c88305a3198ade8db2896b85ef3a,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_slice_benchmark.c,2167,33c81a493b51ac58f0f5b6fe2cb6384bd1b09b7cf23e215d0a8b9835c8988522,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_streamed_slice_v0.c,11657,a20e85360da30f2050d6a26cdc5799169c073654e9b53eeb348043360d1fd7b2,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_traversal_benchmark.c,2333,0308799351584a62d21cffba5af5404561f94e329027b77494c44f3e9b782615,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_wide_benchmark.c,1435,37ea0dcc216a2808767e40e050b7876a26bfe466d4f9c48c05c32cc893b3f266,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_wide_v0.c,11513,2d1d48631902bcc2f604aa59c27a88ccc242b8325c6495846ff9e9a275406192,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
clang/phase_world_benchmark.c,1785,e64ab1bcac150fb39e918bb798c098ccde8a2c979ff9401d6401aabfa64827a2,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_world_cell_v0.c,5476,60d9fc5090b43f084d0a3987eba9ce952fb5c3b5feeac67758d51ddc3030621d,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_zone_traversal_v0.c,19199,c7e5d3106a5fe099da3398b3b8a607adb90bafd7143a3a5676e7b4a32bdf424a,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/qbl_benchmark.c,2525,beb5b64e8df442b1c51a5292e3f5d3e19bee4aa1cea0afda591435f415fdc11f,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/qbl_cli.c,18603,3aa33b240c823f7ec6eeca2052acf5dfd1b91f74972f740f975a6451c48534f0,NOT_ADDED,context_only,CLI harness,
clang/qbl_inspect_benchmark.c,2374,fbf034b13484e0a6ed8a8dfe3348337db9b0169eae52976458b12fc82c1c3c40,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/qbl_orthad_benchmark.c,2776,018dfdd0f91556aa01af0db709ac1fc419efb9c1f5d8fef17979db2222afc6b5,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/qbl_record_benchmark.c,2436,dedc719110084d4d6f67e1811e86d2371e7c7b24c56e341f730c5d554f5b236b,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/qbl_reference.c,17610,ea0c739257ebf6bdcd94f46a0cc3061fdecfa344fddac8a3288eca75dfa002cb,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
clang/qbl_snapshot.c,11476,b0ac4240b53f67f8559e86d1717246995a74ed1557662f9b3f1509937f8b70e1,NOT_ADDED,context_only,persistence/fixture machinery rather than math solver,
clang/qbl_snapshot_benchmark.c,2866,dc59dd5cb4b6394ac01b0b8881b27750c26ab6301127b43f47861b03454dd245,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/qbl_snapshot_fixture.c,2173,267d7075f544e51836a30dc54a85f9abf0ff4968ce6958a6bb97e5916935a99e,NOT_ADDED,context_only,persistence/fixture machinery rather than math solver,
clang/qbl_step_benchmark.c,2124,4652c20c70aabcc3c225af9cd3b48b5531c6afabae13545e838b0321b4b3c1fe,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/qbl_step_wide_v0_kernel.c,8658,fb6cfbf4a10d959eab50c01b2f73de7826146a7bb003c6059009278f65a2a409,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
clang/qbl_wide_reference.c,759,96fea41af1ef2e9642155c175826986deefee649b4251960a1a722dd3f6edde5,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
clang/test_cp0_cp1.c,6233,58e072b2cc7e61d27b11680eed7ed4c3688c209cdf4fdcc5bfe66410003d42b3,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp10.c,8639,e35ce6fa4e14d721d6b92f33d598a9c85801e73f81fea1cb9fba916c4ac4997c,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp11.c,8599,25579cb3af92931912db8c76c71a5c5b46423082c225a30ca8c06b312048edce,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp12.c,5541,57c0798dbaf39ec01b7c9619da83f0ed37555c63780ebd31470f0829a86d3a95,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp13.c,6807,b95b7b4785452dd52cbce033f5b1f07d9f61f96dd27a06e94b867a2be2a43dee,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp14.c,7356,5527f6e24bac74f11b54cd8a06453d2e29d89cee4eb0850d9a862b895f7d1492,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp15.c,7377,9bebe748c6feaa44901153af0d3c51bb09180b30bcc0aa7bfe3cce0022d759e1,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp16.c,8556,a4c1bf94e5491a0350c2cde1f23dc4b3b3ada6571571a6a8af18a70bd747cd84,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp17.c,9282,3219ae85f4095756b15fc90a6bbd70a9611c6187ae770703df29aae0490f6390,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp18.c,9106,6036096164756a85aad56a109e44800183f09b621d7e50d216dcde118febbe62,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp19.c,10807,17572251fc53f53ab292056b01df59783864c059631f6c1c1c0804d1046000f7,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp2.c,19869,378799f9d61d917066dbb56a29760d240bd209afcb889e0048308812464491c2,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp20.c,12089,e9484ccd96d5107071acb6c5b04505891a2330681ad119c861a46b4dc7c98906,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp3.c,18128,72086bc0a4bd47e015324a7b9a6a5a25e2ee31657cf1e8d1a2c75b76739087e4,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp4.c,14859,83bbae724e6a3ebcc7f2d77cc1dba7fb1c9ef4ddcbf85bbd1fd28dd9b53e89f5,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp5.c,12203,edbfaf8aabb8a9589882b949140a2ff0408faf6b873fa6fe78434ff2d989be76,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp6.c,11443,99c14e95ba44e7d2264d3d24ea00ea6bf33e95eab97b8b8dd6c3d7b344988c30,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp7.c,5087,5182055438891864be18ae517c142210d2c62a970835543ff6e7773727a26a8e,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp8.c,5579,1905341cb17655f99f880156c7d4cf132289b540a335f2ce77d7672d5bb22963,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/test_cp9.c,8156,ea6d2d3075cc37a0d88681dc7bca356a5f59f610f3df4b1a287700cfe7686e5d,NOT_ADDED,context_only,"regression/validation test, not a tool implementation",
clang/world_core_v0.c,16549,34d1aa4cc02f7699f9d22479ddbfb7612331460dbbb3d49a77ba45eaccae666c,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/build.rs,2969,d59049ed16c7d24db7946238bc8ec19291aad050db4c9152dcdf146cc0ca7bea,NOT_ADDED,context_only,build infrastructure,
rust/lib (10th copy).rs,24905,d418f726c062641f24da4654ecd8210525af64b32f83f2c66131e7d5f6ef4ff3,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (11th copy).rs,18775,f551184bb3f1d56335b6cd24a63b45ba733dae78f219938f332a7afb1722f738,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
rust/lib (12th copy).rs,12938,602d81f0126b0238fd27a2067fd665cd1a546b2fe80bb6ebc234c8299e5dd724,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (13th copy).rs,17415,0adf700f2e37a38d31574f71a377c5d8ba4fe0d6f932316432502a9a35f1f384,NOT_ADDED,context_only,ABI/type declarations rather than math implementation,
rust/lib (14th copy).rs,12800,b60ea39b79b79e4fda07884983ca1bc699c2a69cde0e90440fa834ce5320f093,NOT_ADDED,context_only,FFI wrapper layer,
rust/lib (15th copy).rs,19125,971a1cb9f55346659f96dd6678a1df97542c2df04b939b00ffc0743c575117dc,NOT_ADDED,context_only,snapshot/persistence implementation,
rust/lib (16th copy).rs,13173,b4f3324508593f2d2a09d2f360271ed3a858a940dee7b152a5f56c5445c0fb92,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
rust/lib (17th copy).rs,52074,bfcb8bb9c55e57ff9ab35b07fb8651c16f5788218beb43a89489a5dc5255b57d,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (3rd copy).rs,12069,700d5f1579b91717b7d64a3951b5dcd16dd456b0b20673a980d06d119e4e65f0,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (4th copy).rs,26308,17ac1e71ec0c7d2306d20c92c6d23eb7bed26bf54d04ab00de94067f7e6b5555,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (5th copy).rs,34778,fc25be2f03415c9fcb41421931df7730b9f00dc2cc65c8a77dbcc2dced27657d,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (6th copy).rs,18414,402f24b06597cfaedff902fb2905895872f04b0bec75b69132fb2e9f06b862e6,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (7th copy).rs,20800,230d6bfdd17e300e3804c6e73125afa4ddb63b7a4e5ab77734ec4196765628d0,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (8th copy).rs,23815,4c961f2414161c29a43b4a52e14dade38e065fc62560e7ca8fe3c7313254bb1e,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (9th copy).rs,16496,6e0d888ba05d2ed22eda3f090488d2fce1a639e650b20d9fd9a173302d02819b,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (another copy).rs,16586,edb816bc31f107a791a3963c576491d13d447bb479df06d49516d8d94cdeef8e,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/lib (copy).rs,20421,d9befe097b0d025b188cfc977ff5a60b43b410b6d55d4c8cb51201e2cca85013,NOT_ADDED,context_only,snapshot/persistence implementation,
rust/lib.rs,16520,f755fe26fcf52ed08eb37f1b1cc2d8518a663c60418521fbacc529b672f827e0,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
rust/main (10th copy).rs,5126,d17b53f9530638eedf304f8a84421683b834ed0cd31b37211c097a0e5453b7be,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (11th copy).rs,1504,1e0c73386155412eb0f2448c9bbb68e41593b27da183815a803933f19a323974,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (12th copy).rs,4877,142c79f939d6b9009268f81fd3f867b22a991cc3abcd57e12f21f07635ec1e25,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (13th copy).rs,20543,85fbafc5dc4f43f9642f0227232a384f8bdf6617509e5af302ed789a54d437b4,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (14th copy).rs,4093,e13da38acdd0b4e2766e11a0a30f7b7ce1e6f87c435f980a4a163d07c926588c,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (3rd copy).rs,2579,bf2a445f16b430df2d4cdc83d39ad7aa4635157e39c6c4bcb6f26bb26662c1a6,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (4th copy).rs,5191,a9518f43b06af20ef40a4936614676547bd0f452c1f21c2dbd2188ef302103e5,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (5th copy).rs,4968,5263423427f982945785eaeaf3255a5011c15fa1f91d520758b15e42a3ebce5a,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (6th copy).rs,5441,269b8efa4445f000523fee442c18860376f122a2f1b148ea855c2ba6c02835a4,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (7th copy).rs,5329,932f366701b5901e7cd64d5d46128a7af73c939ac688e18bf1878401ef0a3f59,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (8th copy).rs,4199,8a4ec3a8d1e652b204ca580c6cc9d8e9f6447ab1b25f8af99de2b99b65b93cba,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (9th copy).rs,3482,f366efb6daeb9bf743ca950316d88784af810ca05cb79b029a22a6eded6bf060,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (another copy).rs,4016,8b4b685371542e16afec3b5e487aebe018606560632c84c9d6800c39989677b7,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main (copy).rs,4334,74c1da920f970681952251b6b84069af4892e9a7333e14c3a31c069efbd933a7,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
rust/main.rs,5527,a7543e6636e6e492b86cf0d9dbb27d4712f59dfd54f84432f46f9db57be0b5bb,NOT_ADDED,context_only,executable harness rather than reusable math implementation,
