path,status,error
phase5_v7s_2primary_normalization_jordan_policy.py,PASS,
phase5_v7t_t_to_fqm_extraction.py,PASS,
phase5_v7u_full_orthad_lens_compiler_binding.py,PASS,
phase5_v7w_parity_seating_post_l_mod12.py,PASS,
phase5_v7x_depth_follow_channel_readout.py,PASS,
phase5_v7y_asymmetric_corridor_arbitrary_start_ladder.py,PASS,
phase5_v7z_mock_theta_fqm_shadow_channel.py,PASS,
phase5_v8a_all_history_confluence_cocycle.py,PASS,
phase5_v8b_full_fqm_classification_boundary_attack.py,PASS,
phase5_v8d_orthad_generated_fqm_subclass.py,PASS,
phase5_v8e_family_f_isometry_classifier.py,PASS,
phase5_v8f_rank_ge3_family_f_components.py,PASS,
phase5_v8g_triangles_mixed_highrank_2primary_components.py,PASS,
phase5_v8h_rank4_exact_closure_rankge5_reduction_attack.py,PASS,
phase5_v8i_extended_diagonal_block_decomposition.py,PASS,
phase5_v8j_radical_aware_block_decomposition.py,PASS,
phase5_v8k_radical_aware_decomposition_redone_under_data_gates.py,PASS,
phase5_v8l_full_decomposition_under_data_gates.py,PASS,
phase_block_solution.py,PASS,
phase_block_solution_sympy.py,PASS,
phase_calculus_attack_sympy.py,PASS,
phase_calculus_numeric_certificates.py,PASS,
phase_calculus_total_audit.py,PASS,
phase_four_filter_covariance.py,PASS,
phase_lift.py,PASS,
phase_native_live_decoder_v10.py,PASS,
phase_native_local_decoder_v9.py,PASS,
phase_native_radix.py,PASS,
phase_native_random_access_v8.py,PASS,
phase_native_streaming_spigot.py,PASS,
phase_native_streaming_spigot_direct.py,PASS,
phase_native_streaming_spigot_direct_v3.py,PASS,
phase_native_streaming_spigot_direct_v5.py,PASS,
phase_native_streaming_spigot_direct_v6.py,PASS,
phase_native_streaming_spigot_direct_v7.py,PASS,
phase_native_streaming_spigot_direct_v8.py,PASS,
phase_radix_block_search.py,PASS,
phase_selector_engine.py,PASS,
phase_structural_closure_v11.py,PASS,
phase_three_filter_covariance.py,PASS,
phase_three_filter_sympy.py,PASS,
pre_large_scale_light_matter.py,PASS,
primitive_modular_derivation_v61.py,PASS,
primitive_shadow_correspondence_v62.py,PASS,
projection.py,PASS,
projector.py,PASS,
projector_hygiene_selector_demote_attack_v50.py,PASS,
qbl_prime_watch.py,PASS,
ramanujan_residual_balanced_windows_code.py,PASS,
refine_plaquettes.py,PASS,
residual_coefficient_routeB_check.py,PASS,
revgsp.py,PASS,
shadow_residual_eta_sympy_v59.py,PASS,
shadow_residual_multiplier_v60.py,PASS,
sie.py,PASS,
sie_v2.py,PASS,
signals.py,PASS,
solver.py,PASS,
sparse_connectome.py,PASS,
spectral_ops.py,PASS,
stepper.py,PASS,
structural_homeostasis.py,PASS,
sympy_checks.py,PASS,
sympy_endogenous_floor_proofs.py,PASS,
sympy_pc_eml_v1_5_validation.py,PASS,
sympy_phase_identities.py,PASS,
sympy_phase_native_streaming_spigot_direct_v5.py,PASS,
sympy_phase_native_streaming_spigot_direct_v6.py,PASS,
sympy_phase_native_streaming_spigot_direct_v7.py,PASS,
sympy_phase_native_streaming_spigot_direct_v8.py,PASS,
sympy_phase_radix.py,PASS,
sympy_phase_structural_closure_v11.py,PASS,
sympy_projection_loss_validation.py,PASS,
sympy_trace_attack.py,PASS,
tdahe_phase_calculus_sympy_checks.py,PASS,
tdahe_projection_loss_sympy_attack_v46.py,PASS,
termination.py,PASS,
territory.py,PASS,
two_filter_covariance.py,PASS,
two_filter_covariance_sympy.py,PASS,
unified_quintic_v1_4_validation.py,PASS,
vdm_dynamics.py,PASS,
vdm_dynamics_regressor.py,PASS,
void_dynamics_adapter.py,PASS,
void_equations.py,PASS,
xigraph_sympy_audit.py,PASS,
yinyang_transform.py,PASS,
